,lon,lat
501,-98.4842465,39.011902
502,-77.0368707,38.9071923
503,-86.158068,39.768403
505,-75.4142592,40.6314858
506,-82.3940104,34.8526176
508,-93.847129,33.9456692
509,-85.323214,51.253775
510,-71.8740408,42.5588467
511,18.643501,60.128161
512,-83.1582451,40.0333961
513,0.121817,52.205337
514,-84.3879824,33.7489954
515,-95.712891,37.09024
516,-77.0368707,38.9071923
519,-82.9000751,32.1656221
521,-79.6441198,43.5890452
522,-84.9510542,34.502587
523,-75.6971931,45.4215296
527,-81.1637245,33.836081
528,-74.0059728,40.7127753
529,-82.9987942,39.9611755
530,-79.3831843,43.653226
531,-3.435973,55.378051
532,-77.6109219,43.16103
533,-86.39027,35.8456213
534,-95.712891,37.09024
535,-71.0588801,42.3600825
536,-76.1783739,40.0466571
537,-75.1946248,40.9867609
538,-74.3587473,40.0918895
539,-75.9652117,40.329537
541,-77.0909809,38.8816208
542,-74.9322596,40.2283371
543,-93.7426091,36.4111641
544,-77.6109219,43.16103
545,-81.3792365,28.5383355
547,-77.2497049,38.6581722
548,-117.8531007,33.7879139
549,-82.3248262,29.6516344
550,-95.712891,37.09024
551,-0.40965,53.0003079
552,-75.9663221,40.4470377
553,-76.6121893,39.2903848
554,-81.8723084,26.640628
555,-75.1821597,39.7818322
556,-74.4056612,40.0583238
557,-81.3792365,28.5383355
558,-95.712891,37.09024
560,-76.9240422,38.8485264
561,-77.2883157,38.9981652
562,-95.712891,37.09024
563,-7.6920536,53.1423672
564,-117.1610838,32.715738
565,-77.6930602,43.2097837
566,-79.0192997,35.7595731
567,-78.8783689,42.8864468
568,-86.7816016,36.1626638
569,-104.990251,39.7392358
570,-75.2854622,40.0067785
572,8.227512,46.818188
573,-115.1745559,36.1023715
574,-86.7816016,36.1626638
575,-105.5141639,39.8019322
577,-74.0059728,40.7127753
578,-1.1743197,52.3555177
579,-86.7816016,36.1626638
580,-87.6297982,41.8781136
581,-93.2185144,36.6436731
584,-74.0059728,40.7127753
585,-73.087749,41.6032207
586,-74.0059728,40.7127753
587,-106.346771,56.130366
588,-112.0740373,33.4483771
590,-93.2922989,37.2089572
591,-78.898619,35.9940329
592,-71.3824374,42.4072107
593,-71.0588801,42.3600825
594,-77.3063733,38.8462236
595,-82.3248262,29.6516344
596,-104.990251,39.7392358
598,-85.323214,51.253775
599,-85.4807825,32.6098566
600,-83.0457538,42.331427
602,-81.8661442,28.0582985
603,-98.4422802,35.1592256
605,-81.8723084,26.640628
606,-99.9018131,31.9685988
607,-63.616672,-38.416097
608,-80.3582261,27.2730492
610,-2.13125,49.214439
612,-86.80249,33.5206608
613,-82.6716892,30.0363105
614,-87.6297982,41.8781136
616,-73.5996472,41.0340436
617,-120.5542012,43.8041334
619,-97.5164276,35.4675602
620,-76.5319854,3.4516467
621,-84.3879824,33.7489954
623,73.8567437,18.5204303
624,-1.0872979,53.9599651
626,-79.0192997,35.7595731
628,-79.0192997,35.7595731
629,-74.0059728,40.7127753
630,-119.4179324,36.778261
631,-79.3831843,43.653226
632,-76.6412712,39.0457549
634,-88.0314174,43.2159232
635,-78.951451,38.4852928
636,-95.712891,37.09024
637,-86.158068,39.768403
638,-86.902298,32.3182314
639,-79.0558445,35.9131996
640,-84.3867961,33.7590037
641,-87.808218,41.962051
642,-95.9618958,36.0404924
643,-66.4619164,46.5653163
644,-80.8431267,35.2270869
645,-105.8700901,34.5199402
646,-74.0059728,40.7127753
647,-79.786968,45.091189
648,-88.1535352,41.7508391
649,-79.0377388,43.0962143
650,-77.0368707,38.9071923
651,-95.712891,37.09024
652,-85.323214,51.253775
653,-74.7361013,40.3016375
654,-122.0575434,37.387474
656,-83.357567,33.9519347
657,-74.0059728,40.7127753
658,-84.5120196,39.1031182
661,-111.0937311,34.0489281
662,-83.1876578,35.9670412
663,-73.8648268,40.8447819
664,121.774017,12.879721
665,-71.3824374,42.4072107
666,-106.346771,56.130366
667,-86.5804473,35.5174913
668,-77.0368707,38.9071923
669,-73.7948516,40.7282239
670,-76.6412712,39.0457549
671,-95.9808179,36.7473114
672,-74.0337382,42.7006324
673,-90.1994042,38.6270025
674,-106.346771,56.130366
675,-119.4179324,36.778261
676,-86.5263857,39.165325
677,-75.4901833,40.6084305
678,-93.6344466,44.9073415
680,-81.5157535,27.6648274
681,-75.1652215,39.9525839
682,38.1899782,24.0231757
685,-81.0998342,32.0835407
686,-104.7091322,40.4233142
687,-75.1652215,39.9525839
688,-74.0059728,40.7127753
689,-119.4179324,36.778261
690,-73.087749,41.6032207
691,-75.1652215,39.9525839
692,-95.3698028,29.7604267
693,-77.0368707,38.9071923
694,-94.5785667,39.0997265
695,-74.0059728,40.7127753
696,-96.7969879,32.7766642
699,-119.4179324,36.778261
700,-106.346771,56.130366
701,-80.1917902,25.7616798
703,19.040235,47.497912
704,-79.0192997,35.7595731
705,-74.0059728,40.7127753
706,-117.7286809,33.5805638
707,-119.4179324,36.778261
709,-79.9958864,40.4406248
710,-87.9064736,43.0389025
714,-74.0059728,40.7127753
715,-79.0558445,35.9131996
716,-95.712891,37.09024
717,-93.2650108,44.977753
719,73.797545,18.6192221
720,-76.6121893,39.2903848
721,-106.346771,56.130366
723,-77.1945247,41.2033216
725,-95.712891,37.09024
727,-92.5422159,45.1687912
728,-90.5631829,40.1211577
729,-79.3831843,43.653226
730,-113.5684164,37.0965278
732,-79.3831843,43.653226
733,-85.7584557,38.2526647
737,-74.4056612,40.0583238
740,-80.8431267,35.2270869
742,35.9283716,31.9453666
743,-115.1745559,36.1023715
744,-89.8978439,29.8957605
745,-3.435973,55.378051
746,-95.712891,37.09024
747,-95.712891,37.09024
748,-66.063308,45.2733153
749,-95.9464674,36.0177239
750,-81.7229086,41.4047742
754,-87.8567276,41.9005865
755,-73.087749,41.6032207
760,-79.3831843,43.653226
761,-80.2268613,43.5320995
763,-95.2330859,29.459031
764,-78.4766781,38.0293059
765,-104.9877597,39.6477653
766,-75.1652215,39.9525839
767,-95.712891,37.09024
768,-74.2776468,40.6081591
771,-77.4360481,37.5407246
772,-96.3344068,30.627977
773,-97.2742853,32.8933534
774,-74.0059728,40.7127753
775,-79.3831843,43.653226
776,-84.5555347,42.732535
777,-74.0059728,40.7127753
779,-104.9371993,40.0991506
781,-73.5501752,45.5220275
782,-73.9934387,40.7505045
784,-95.712891,37.09024
786,-73.5270709,40.6687125
787,-84.3879824,33.7489954
789,-96.3304465,30.624139
792,-77.7199932,39.6417629
793,-74.0059728,40.7127753
794,-78.8783689,42.8864468
795,-120.5542012,43.8041334
796,-80.2481666,43.5448048
797,-77.0368707,38.9071923
798,-95.712891,37.09024
799,-0.1601246,52.9451889
800,-82.9000751,32.1656221
802,-79.3741834,44.919643
803,-74.7909125,40.2599864
804,-95.6822612,29.8657209
806,-79.0558445,35.9131996
808,-73.9865533,40.7263542
809,-74.2401609,40.8298006
810,-86.1219155,38.2120121
811,-85.7584557,38.2526647
812,-94.3784684,38.910203
814,-122.2913078,37.8271784
815,-6.4157225,38.4225303
816,-82.445154,38.4192496
817,-88.49765,17.189877
818,-73.6981858,40.8256561
820,-95.2330859,29.459031
822,-95.3698028,29.7604267
823,-84.3879824,33.7489954
824,-74.0059728,40.7127753
825,-82.7535049,39.8842304
826,-95.712891,37.09024
827,-63.5677427,44.6652059
830,-84.7915999,39.2536967
831,-95.3698028,29.7604267
832,-74.0059728,40.7127753
833,-86.902298,32.3182314
834,-75.1195107,39.8227054
835,-93.9993996,44.1635775
836,8.227512,46.818188
837,-95.3698028,29.7604267
838,-95.712891,37.09024
839,-106.346771,56.130366
840,124.8420794,1.4748305
841,4.3662756,49.5084965
842,-77.0947092,38.984652
843,-84.3879824,33.7489954
844,-82.9987942,39.9611755
845,-80.8431267,35.2270869
846,-81.0348144,34.0007104
847,-85.6680863,42.9633599
848,-79.9958864,40.4406248
849,-71.0588801,42.3600825
850,-79.0192997,35.7595731
851,-89.3985283,32.3546679
852,45.0430369,41.5225612
853,-80.8431267,35.2270869
854,-77.0368707,38.9071923
855,-75.8813075,41.2459149
857,-85.323214,51.253775
858,113.9060624,-6.9253999
859,-75.4751457,40.6010681
860,-95.712891,37.09024
863,-106.346771,56.130366
864,-99.9018131,31.9685988
865,-85.323214,51.253775
866,-123.1207375,49.2827291
867,-97.7277959,31.1171194
868,-87.0641992,41.6105937
871,-75.1652215,39.9525839
872,-77.0368707,38.9071923
877,-123.1207375,49.2827291
878,-79.9310512,32.7764749
879,-95.712891,37.09024
881,-104.990251,39.7392358
882,-77.0368707,38.9071923
885,-79.9310512,32.7764749
886,-84.3879824,33.7489954
887,-80.2481666,43.5448048
888,-89.0947545,41.3326284
889,-95.712891,37.09024
890,-80.2481666,43.5448048
891,-73.9712488,40.7830603
892,-102.4107493,34.2331373
893,123.7061643,13.123896
895,-71.467566,42.7653662
896,-122.4194155,37.7749295
897,-73.8819999,40.7431785
900,-83.1763145,42.3222599
901,-86.9833417,34.6059253
902,-75.1652215,39.9525839
903,-79.4402808,43.8828401
904,-76.8610462,39.2037144
905,-85.323214,51.253775
906,-91.8318334,35.20105
907,-74.0059728,40.7127753
909,-76.8610462,39.2037144
910,-82.1400923,29.1871986
911,-119.4179324,36.778261
912,-79.9958864,40.4406248
913,-111.0429339,45.6769979
915,-84.3615555,34.0232431
916,-83.0491958,42.3294776
917,-79.9310512,32.7764749
918,-95.712891,37.09024
919,-84.5120196,39.1031182
920,-79.3831843,43.653226
921,-82.9987942,39.9611755
922,-106.346771,56.130366
923,-76.7074571,37.2707022
926,-84.9633148,42.2722641
927,-83.357567,33.9519347
929,-88.0717353,41.9103068
930,-77.7924992,40.7756184
932,-83.357567,33.9519347
933,-86.6513845,36.4703232
934,-106.346771,56.130366
936,-89.3985283,32.3546679
937,-86.8688899,35.9250637
938,-73.9874589,40.6955339
939,-82.05077,29.063309
941,-90.2290098,39.733936
942,-82.9987942,39.9611755
943,-96.1995113,38.4052557
944,-95.3547034,29.7300936
945,-83.1497751,42.6064095
947,-99.9018131,31.9685988
948,-83.357567,33.9519347
950,-111.8389726,40.5649781
951,-2.13125,49.214439
953,-79.0558445,35.9131996
954,-81.2452768,42.9849233
956,-73.7562317,42.6525793
957,-110.7864984,33.3942223
959,-82.6402915,27.7676008
960,-86.7816016,36.1626638
961,-80.1917902,25.7616798
962,-95.9618958,36.0404924
963,-95.712891,37.09024
964,-79.3831843,43.653226
965,-81.1637245,33.836081
968,-112.4768287,41.115791
969,-83.357567,33.9519347
970,-84.1401926,34.2073196
971,-79.3831843,43.653226
972,-63.5752387,44.6487635
973,-79.4084652,45.1841122
974,-79.3831843,43.653226
975,-82.395139,31.193111
976,-87.8211854,42.5847425
977,38.192966,24.0039395
978,-102.4107493,34.2331373
980,-79.3831843,43.653226
981,-88.7878678,43.7844397
983,-77.1945247,41.2033216
984,-86.1152184,30.7210227
986,-4.1426565,50.3754565
987,-86.7816016,36.1626638
989,-78.898619,35.9940329
992,-74.4056612,40.0583238
993,-106.346771,56.130366
996,-85.323214,51.253775
997,-73.9865533,40.7263542
998,-85.323214,51.253775
999,-74.0059728,40.7127753
1002,-78.9429329,43.8975446
1004,-105.0709602,39.8039797
1005,-81.5599277,28.3600613
1006,-74.0059728,40.7127753
1009,-86.158068,39.768403
1010,-72.6239953,41.7203492
1011,-73.8648268,40.8447819
1012,-88.0398912,30.6953657
1013,-81.895771,36.026921
1014,-79.9958864,40.4406248
1015,122.5621063,10.7201501
1016,-75.6971931,45.4215296
1018,4.8951679,52.3702157
1019,-90.3573389,38.5925524
1020,100.5017651,13.7563309
1021,-122.802962,49.0253085
1022,-104.990251,39.7392358
1023,-95.712891,37.09024
1025,-94.9630171,36.693687
1028,-0.1277583,51.5073509
1029,-121.7405167,38.5449065
1030,-91.8318334,37.9642529
1031,-80.094621,32.603865
1032,-94.6858998,46.729553
1033,-74.0059728,40.7127753
1034,-86.8688899,35.9250637
1035,-82.9000751,32.1656221
1036,-76.985557,42.8679836
1037,-74.4056612,40.0583238
1038,-74.4056612,40.0583238
1039,-98.4936282,29.4241219
1040,-87.6297982,41.8781136
1041,-84.406761,33.8372663
1042,-86.2999689,32.3668052
1044,-118.451357,34.1489719
1045,-81.6059581,41.4169974
1046,-82.3248262,29.6516344
1048,-95.3694116,35.9595442
1049,-119.4179324,36.778261
1050,-94.2732642,36.481464
1051,-94.6858998,46.729553
1052,-88.4381029,37.8136583
1053,-86.5804473,35.5174913
1055,-95.712891,37.09024
1056,-82.7873244,27.9094665
1058,-79.5044808,43.7760528
1062,-79.6876659,43.467517
1063,-82.907123,40.4172871
1064,-82.3248262,29.6516344
1065,-77.0204609,38.9771126
1066,-87.7358366,31.9134859
1067,-86.158068,39.768403
1068,-77.4416505,37.3568157
1070,-74.0059728,40.7127753
1071,-83.0457538,42.331427
1072,-82.907123,40.4172871
1073,-75.7496572,39.6837226
1074,-97.7277959,31.1171194
1076,-78.6568942,37.4315734
1078,-85.3105111,34.5439735
1079,0.020101,52.251843
1080,-80.2481666,43.5448048
1081,-71.0588801,42.3600825
1082,-78.6568942,37.4315734
1083,-74.0059728,40.7127753
1084,-95.712891,37.09024
1087,-84.3879824,33.7489954
1088,-84.3879824,33.7489954
1089,-73.9874872,40.6918913
1090,-80.1917902,25.7616798
1091,-87.9889556,41.931696
1092,-61.2335592,10.3757217
1093,-95.712891,37.09024
1094,-84.3879824,33.7489954
1095,-114.9817213,36.0395247
1096,-74.0059728,40.7127753
1097,-74.4056612,40.0583238
1098,-117.6483876,34.09751
1099,-97.1330683,33.2148412
1100,-75.3015714,40.0792766
1101,110.4017339,-7.7647961
1102,-73.9441579,40.6781784
1103,-81.6943605,41.49932
1106,-85.323214,51.253775
1107,-71.5723953,43.1938516
1108,-75.4665158,35.5584932
1110,-72.253572,41.8096926
1111,-87.151359,30.9529611
1112,-97.5164276,35.4675602
1113,-81.3792365,28.5383355
1114,-84.4838654,42.7369792
1115,-149.0729714,62.4113634
1116,-95.2352501,38.9716689
1118,-119.4179324,36.778261
1119,-79.3831843,43.653226
1120,-76.2858726,36.8507689
1121,-89.4012302,43.0730517
1122,-87.6297982,41.8781136
1123,-74.0059728,40.7127753
1124,-79.7624177,43.7315479
1125,-76.8867008,40.2731911
1126,-105.2253316,20.653407
1127,-81.0348144,34.0007104
1128,-80.0997657,26.3184123
1129,-74.4056612,40.0583238
1131,-78.4766781,38.0293059
1132,-74.0059728,40.7127753
1134,-73.8648268,40.8447819
1135,-95.7257968,32.3593117
1136,-89.2903392,31.3271189
